twit_text,date
"어제보다 순위가 오른 게임 중 가장 순위가 높은 게임은 「검은사막 모바일」(5위→3위), 30위 권에서 가장 변동폭이 큰 게임은 「페이트/그랜드 오더」(31위→20위) 입니다. 100위 권에서 가장 변동폭이 큰 게임은 「라이프애프터」(121위→85위) 입니다.",오전 5:01 - 2019년 4월 19일
"오늘의 매출 1위 게임은 「리니지M」, 2위는 「블레이드&소울 레볼루션」, 3위는 「검은사막 모바일」, 4위는 「브롤스타즈」, 5위는 「리니지2 레볼루션」 입니다.",오전 5:01 - 2019년 4월 19일
"아프리카TV에서 ""검은사막 모바일우유№.1MCN_만만감스트항상#킴성태[NS남순]BJ이상호오메킴승현2악어∀Rain정윤종FlaSh.이영호[BJ]케이커맨더지코"" VOD 함께봐요!http://live.afreecatv.com:8079/app/index.cgi?szBoard=read_bbs&szBjId=dkrhksgh1&nStationNo=18324526&nBbsNo=54632714&nTitleNo=43432924 … #afreecatv",오전 4:04 - 2019년 4월 19일
최근 '검은사막 모바일'이 신규 클래스 '매화'로 인해 상승세를 타고 있습니다. 개발진을 만나 매화에 대해 물어보니 날쌘 겉모습과 달리 길고 강력한 한 방이 있는 반전 매력을 가진 캐릭터라고 답했습니다. 여기에 추후 대형 업데이트 내용도 공개했습니다,오전 3:30 - 2019년 4월 19일
黑色沙漠mobile 4/17新角色梅花誕生＆繼承 |?い砂漠モバイル梅花|검은사막모바일 매화 ,오전 3:06 - 2019년 4월 19일
새삼 스크린샷 보니까 검은사막 모바일겜인데 잘 뽑햤다는 생각든다,오전 2:26 - 2019년 4월 19일
검은사막 모바일 사전예약 방법 및 혜택은? - 요즘엔 대작 게임들의 모바일 게임화가 정말 많이 진행되고 있는 것 같습니다. 리니지 레볼루션이나 리니지m 의 성공을 본 기존 온라인 게임 제작사들은 앞다투어 자신들의 IP를 모바일화 시키고 있는데요. ,오전 1:38 - 2019년 4월 19일
"펄어비스, '검은사막 모바일'에 '매화' 업데이트",오전 8:02 - 2019년 4월 18일
"오늘의 매출 1위 게임은 「리니지M」, 2위는 「블레이드&소울 레볼루션」, 3위는 「브롤스타즈」, 4위는 「리니지2 레볼루션」, 5위는 「검은사막 모바일」 입니다.",오전 5:01 - 2019년 4월 18일
검은사막 모바일 2차 티저 영상 공개 및 사전예약 일정 발표 - 검은사막은 2014년 12월 17일 오픈 베타 이래로 2015년 7월 정식 서비스가 되어 부분 유료화한 게임인데요. 출시된 이래로 꾸준히 사용자가 유지되고 있는 온라인 게임입니다. 펄어비스는 이 단일 게임으로.. ,오전 4:45 - 2019년 4월 18일
