twit_text,date
하악..라그나로크m 신규 연뽑기에서 득..뽑기 하고 의상 입혀보니 이쁜건 자랑의상 뽑는데 600코인 쓴건 안자랑머리까지 뽑는데 추가로 300코인 쓴건 안자랑머리 뽑아두고 안이뻐서 도감에 박아둔건 안자랑..ㅠㅠ ,오후 3:09 - 2018년 11월 15일
업데이트 5.0으로 즐길 거리 증폭! '라그나로크M',오전 7:10 - 2018년 11월 15일
"어제보다 순위가 내린 게임 중 가장 순위가 높은 게임은 「라그나로크M : 영원한 사랑」(9위→11위), 30위 권에서 가장 변동폭이 큰 게임은 「FIFA ONLINE 4 M 」(13위→19위) 입니다. 100위 권에서 가장 변동폭이 큰 게임은 「오버히트」(62위→77위) 입니다.",오전 4:01 - 2018년 11월 15일
의문의 불꽃레즈껨! 라그나로크M!,오전 3:07 - 2018년 11월 15일
라그나로크m 여캐로 진행하면 메인스 여캐랑 엮어줘서 의문의 불꽃pc겜 되는걸 경험할수잇읍니다. 레.즈짱,오전 3:03 - 2018년 11월 15일
[오늘의 이슈] 라그나로크M : 영원한 사랑 APK 다운로드 링크 - Download Link ,오후 7:36 - 2018년 11월 13일
더욱 흥미로운 모험의 나라로 함께 떠나요!라그나로크m 바로 다운받기 ,오후 5:48 - 2018년 11월 13일
라그나로크 M까진 이해가 되는데 영원한 사랑이라는 부제는 뭐지,오전 1:14 - 2018년 11월 13일
"3일 연속으로 순위가 오른 게임 중 가장 순위가 높은 게임은 「라그나로크M : 영원한 사랑」(11위→10위→9위), 30위 권에서 가장 변동폭이 큰 게임은 「파이널 판타지 XV: 새로운 」(28위→15위→14위) 입니다.",오전 4:01 - 2018년 11월 12일
"어제보다 순위가 오른 게임 중 가장 순위가 높은 게임은 「라그나로크M : 영원한 사랑」(10위→9위), 30위 권에서 가장 변동폭이 큰 게임은 「신명」(19위→16위) 입니다. 100위 권에서 가장 변동폭이 큰 게임은 「오크: 전쟁의 서막」(63위→41위) 입니다.",오전 4:01 - 2018년 11월 12일
"3일 연속으로 순위가 오른 게임 중 가장 순위가 높은 게임은 「라그나로크M : 영원한 사랑」(29위→15위→11위), 30위 권에서 가장 변동폭이 큰 게임은 「라그나로크M : 영원한 사랑」(29위→15위→11위) 입니다.",오전 4:01 - 2018년 11월 10일
Download 라그나로크M : 영원한 사랑 APK for Android https://www.apkmods-plus.com/en/download-%eb%9d%bc%ea%b7%b8%eb%82%98%eb%a1%9c%ed%81%acm-%ec%98%81%ec%9b%90%ed%95%9c-%ec%82%ac%eb%9e%91-apk-for-android/ …,오전 11:15 - 2018년 11월 9일
"어제보다 순위가 오른 게임 중 가장 순위가 높은 게임은 「리니지2 레볼루션」(3위→2위), 30위 권에서 가장 변동폭이 큰 게임은 「라그나로크M : 영원한 사랑」(29위→15위) 입니다. 100위 권에서 가장 변동폭이 큰 게임은 「턴제 RPG ? 브라운더스트」(112위→74위) 입니다.",오전 4:01 - 2018년 11월 9일
"어제보다 순위가 내린 게임 중 가장 순위가 높은 게임은 「리니지2 레볼루션」(2위→3위), 30위 권에서 가장 변동폭이 큰 게임은 「라그나로크M : 영원한 사랑」(16위→29위) 입니다. 100위 권에서 가장 변동폭이 큰 게임은 「반지」(39위→82위) 입니다.",오전 4:01 - 2018년 11월 8일
"[더코리아뉴스] 배순민 기자 = ‘라그나로크M: 영원한 사랑’, 에피소드 5.0 선보여 ",오전 2:02 - 2018년 11월 8일
11월 8일 오늘의 게임 소식 입니다.#오늘의게임소식 #커츠펠 #브라운더스트 #라그나로크M #영원한7일의도시 #서머너즈워 #네코제 http://game.donga.com/90462/  http://game.donga.com/90462/ ,오전 2:00 - 2018년 11월 8일
라그나로크M_Short Film(4m30s)_윤아&서강준(Song by 강타) ,오전 7:07 - 2018년 11월 6일
‘라그나로크M’ 동남아시아 흥행 이어가http://www.econovill.com/news/articleView.html?idxno=349920 …,오전 4:08 - 2018년 11월 6일
"[더코리아뉴스] 배순민 기자 =‘라그나로크M: 영원한 사랑’, 동남아 주력시장 구글 최고 매출 순위 달성",오후 11:39 - 2018년 11월 5일
"울트라맨, 라그나로크M 프론테라 광장에 등장!!! https://youtu.be/VNki3eGQHa8  @YouTubeさんから韓?のオンラインゲ?ム『라그나로크M（ラグナロクM）』がウルトラマン?ウルトラ怪?とコラボ！ティガ推しですねぇｗｗ小さくなった怪?たちが可愛い＾＾",오후 5:55 - 2018년 11월 5일
[Android]‘라그나로크M:영원한 사랑’ 출시 하루만에 동남아 앱스토어 매출 1위 달성 https://bbs.ruliweb.com/news/board/1004/read/2148412 …,오후 6:41 - 2018년 11월 2일
라그나로크M_Full(2m30s)_윤아&서강준(Song by 강타) https://youtu.be/85ii73r2Ahc  @YouTubeさんから,오전 3:08 - 2018년 11월 2일
"[더코리아뉴스] 배순민 기자 =‘라그나로크M: 영원한 사랑’, ‘울트라맨’과 콜라보레이션! ",오후 8:39 - 2018년 11월 1일
[더코리아뉴스] 배순민 기자 = ‘라그나로크M: 영원한 사랑’ 동남아 시장 태풍의 핵 급부상! ,오전 4:07 - 2018년 11월 1일
